"","data_id","country_id","country_indicator_id","data_time","data_value"
"143",143,2,13,2008-03-22,-10.48
"144",144,2,14,2008-03-22,87.31
"145",145,2,2,2007-03-22,2615.08
"146",146,2,3,2007-03-22,55
"147",147,2,4,2007-03-22,1
"148",148,2,5,2007-03-22,85
"149",149,2,6,2007-03-22,1
"150",150,2,7,2007-03-22,NA
"151",151,2,8,2007-03-22,-278.21
"152",152,2,9,2007-03-22,21680
"153",153,2,10,2007-03-22,0.44
"154",154,2,11,2007-03-22,1.43
"155",155,2,12,2007-03-22,142.96
"156",156,2,13,2007-03-22,-10.64
"157",157,2,14,2007-03-22,86.29
"158",158,2,2,2006-03-22,2424.58
"159",159,2,3,2006-03-22,53
"160",160,2,4,2006-03-22,1
"161",161,2,5,2006-03-22,89
"162",162,2,6,2006-03-22,1
"163",163,2,7,2006-03-22,NA
"164",164,2,8,2006-03-22,-297.21
"165",165,2,9,2006-03-22,23340
"166",166,2,10,2006-03-22,0.47
"167",167,2,11,2006-03-22,1.39
"168",168,2,12,2006-03-22,143.96
"169",169,2,13,2006-03-22,-12.26
"170",170,2,14,2006-03-22,85.15
"171",171,2,2,2005-03-22,2330.73
"172",172,2,3,2005-03-22,59
"173",173,2,4,2005-03-22,115
"174",174,2,5,2005-03-22,85
"175",175,2,6,2005-03-22,186
"176",176,2,7,2005-03-22,NA
"177",177,2,8,2005-03-22,-218.99
"178",178,2,9,2005-03-22,19200
"179",179,2,10,2005-03-22,0.56
"180",180,2,11,2005-03-22,1.34
"181",181,2,12,2005-03-22,146.5
"182",182,2,13,2005-03-22,-9.4
"183",183,2,14,2005-03-22,86.65
"184",184,2,2,2004-03-22,2228.49
"185",185,2,3,2004-03-22,57
"186",186,2,4,2004-03-22,1
"187",187,2,5,2004-03-22,86
"188",188,2,6,2004-03-22,1
"189",189,2,7,2004-03-22,NA
"190",190,2,8,2004-03-22,-77.65
"191",191,2,9,2004-03-22,22630
"192",192,2,10,2004-03-22,0.55
"193",193,2,11,2004-03-22,1.34
"194",194,2,12,2004-03-22,133.64
"195",195,2,13,2004-03-22,-3.48
"196",196,2,14,2004-03-22,85.2
"197",197,2,2,2003-03-22,2021.23
"198",198,2,3,2003-03-22,61
"199",199,2,4,2003-03-22,1
"200",200,2,5,2003-03-22,86
"201",201,2,6,2003-03-22,1
"202",202,2,7,2003-03-22,NA
"203",203,2,8,2003-03-22,-156.98
"204",204,2,9,2003-03-22,20070
"205",205,2,10,2003-03-22,0.62
"206",206,2,11,2003-03-22,1.25
"207",207,2,12,2003-03-22,133.97
"208",208,2,13,2003-03-22,-7.77
"209",209,2,14,2003-03-22,115.49
"210",210,2,2,2002-03-22,1941.34
"211",211,2,3,2002-03-22,55
"212",212,2,4,2002-03-22,1
"213",213,2,5,2002-03-22,80
"214",214,2,6,2002-03-22,1
"215",215,2,7,2002-03-22,NA
"216",216,2,8,2002-03-22,-86.59
"217",217,2,9,2002-03-22,17890
"218",218,2,10,2002-03-22,0.58
"219",219,2,11,2002-03-22,1.25
"220",220,2,12,2002-03-22,134.3
"221",221,2,13,2002-03-22,-4.46
"222",222,2,14,2002-03-22,94.65
"223",223,2,2,2001-03-22,1920.11
"224",224,2,3,2001-03-22,56
"225",225,2,4,2001-03-22,1
"226",226,2,5,2001-03-22,81
"227",227,2,6,2001-03-22,1
"228",228,2,7,2001-03-22,NA
"229",229,2,8,2001-03-22,37.43
"230",230,2,9,2001-03-22,19170
"231",231,2,10,2001-03-22,0.58
"232",232,2,11,2001-03-22,1.27
"233",233,2,12,2001-03-22,139.05
"234",234,2,13,2001-03-22,1.95
"235",235,2,14,2001-03-22,127.05
"236",236,2,2,2000-03-22,1873.45
"237",237,2,3,2000-03-22,58
"238",238,2,4,2000-03-22,1
"239",239,2,5,2000-03-22,83
"240",240,2,6,2000-03-22,1
"241",241,2,7,2000-03-22,NA
"242",242,2,8,2000-03-22,69.83
"243",243,2,9,2000-03-22,20000
"244",244,2,10,2000-03-22,0.7
"245",245,2,11,2000-03-22,1.25
"246",246,2,12,2000-03-22,145.07
"247",247,2,13,2000-03-22,3.73
"248",248,2,14,2000-03-22,118.96
"249",249,2,2,1999-03-22,1722.8
"250",250,2,3,1999-03-22,NA
"251",251,2,4,1999-03-22,NA
"252",252,2,5,1999-03-22,NA
"253",253,2,6,1999-03-22,NA
"254",254,2,7,1999-03-22,NA
"255",255,2,8,1999-03-22,-81.01
